title,description,ingredients,preparation,health_benefits,category,image_url,rating
 Baking Soda Paste◦Ingredients: Equal amount of,,,"Mix baking soda and water to prepare a paste1. Dip your toothbrush in the mixture and brush in circles, covering each tooth well, for about one minute1. Rinse off with fresh water1.◦Health Benefits: Removes plaque1, protects teeth from demineralization (calcium removal from enamel)1, has antimicrobial properties and prevents tooth decay1.◦Usage: Every alternate day, or once a day if brushing twice, instead of toothpaste1.","Removes plaque1, protects teeth from demineralization (calcium removal from enamel)1, has antimicrobial properties and prevents tooth decay1.◦Usage: Every alternate day, or once a day if brushing twice, instead of toothpaste1.",General,,
 Oil Pulling Coconut Oil)◦Ingredients: One tablespoon of,,,"Take one tablespoon of coconut oil in the mouth1. Swish the oil around the mouth for five to ten minutes1. Spit the oil out in a trash can1.◦Health Benefits: Helps in removal of plaque formation1, maintains overall dental hygiene1, has anti-inflammatory and anti-microbial properties1.◦Usage: Every day, at least three times a week, for a month, and then every six months1.Source2 ""3 Amazing Benefits of Aloe Vera for Skin, Hair and Health | Natural Healing Method""","Helps in removal of plaque formation1, maintains overall dental hygiene1, has anti-inflammatory and anti-microbial properties1.◦Usage: Every day, at least three times a week, for a month, and then every six months1.Source2 ""3 Amazing Benefits of Aloe Vera for Skin, Hair and Health | Natural Healing Method""",General,,
 Aloe Vera Gel for,,Aloe vera gel2.◦Preparation: Rub the gel on your teeth2.◦Health Benefits: Gets rid of dental plaque2.,Rub the gel on your teeth2.◦Health Benefits: Gets rid of dental plaque2.,Gets rid of dental plaque2.,General,,
 Aloe Vera Gel as,,Aloe vera gel2.◦Preparation: Use aloe vera gel as a mouthwash2.◦Health Benefits: Gives relief from bleeding or swollen gums because it contains Vitamin C2.,Use aloe vera gel as a mouthwash2.◦Health Benefits: Gives relief from bleeding or swollen gums because it contains Vitamin C2.,Gives relief from bleeding or swollen gums because it contains Vitamin C2.,General,,
 Aloe Vera Gel for Dry,,Aloe vera gel2.◦Preparation: Apply aloe vera gel inside your mouth with your finger four times a day2.◦Health Benefits: Stimulates the taste buds and helps with dry mouth2.,Apply aloe vera gel inside your mouth with your finger four times a day2.◦Health Benefits: Stimulates the taste buds and helps with dry mouth2.,Stimulates the taste buds and helps with dry mouth2.,General,,
 Aloe Vera Gel for Red and Burning,,Aloe vera gel2.◦Preparation: Put some aloe vera gel into a cloth and place it gently over your eyelids2. Leave it overnight2.,Put some aloe vera gel into a cloth and place it gently over your eyelids2. Leave it overnight2.,,General,,
 Aloe,,"Aloe vera gel, a pinch of rock salt2.◦Preparation: Take two to three spoonfuls of aloe vera gel, add a pinch of rock salt, mix, and eat after allowing the moisture to evaporate by heating the mixture once a day2.◦Health Benefits: Relieves constipation2.","Take two to three spoonfuls of aloe vera gel, add a pinch of rock salt, mix, and eat after allowing the moisture to evaporate by heating the mixture once a day2.◦Health Benefits: Relieves constipation2.",Relieves constipation2.,General,,
 Aloe,,About 10 mL of aloe vera juice and 10 mL water2.◦Preparation: Mix aloe vera juice and water and Untitled 1 consume with medical approval2.◦Health Benefits: Used in the management of diabetes to regulate blood sugar level2.,Mix aloe vera juice and water and Untitled 1 consume with medical approval2.◦Health Benefits: Used in the management of diabetes to regulate blood sugar level2.,Used in the management of diabetes to regulate blood sugar level2.,General,,
 Cooked Aloe Vera Gel with,,"Half teaspoon of aloe vera gel (cooked for a minute or two in cooking oil or with a little water), 1 teaspoon tripla powder, 1 teaspoon onion, 1 cup of water2.◦Preparation: Heat aloe vera gel. Add tripla powder and onion to 1 cup of water. Drink after dinner or before bedtime2.◦Health Benefits: Used for weight loss2.",Heat aloe vera gel. Add tripla powder and onion to 1 cup of water. Drink after dinner or before bedtime2.◦Health Benefits: Used for weight loss2.,Used for weight loss2.,General,,
 Aloe Vera,,Aloe vera gel2.◦Preparation: Apply on your skin every day as a moisturizer and cleanser2.,Apply on your skin every day as a moisturizer and cleanser2.,,General,,
" Yellow Substance from Aloe Vera Leaf for Pimples, Dark",,"Yellow colored substance that oozes out from a cut mature aloe vera leaf2.◦Preparation: Make a cut on a mature aloe vera leaf, collect the yellow substance after 15 minutes, and apply it on the skin2.◦Health Benefits: Gets rid of pimples, dark spots, and blackheads2.","Make a cut on a mature aloe vera leaf, collect the yellow substance after 15 minutes, and apply it on the skin2.◦Health Benefits: Gets rid of pimples, dark spots, and blackheads2.","Gets rid of pimples, dark spots, and blackheads2.",General,,
 Yellow Substance from Aloe Vera Leaf with Turmeric,,"Yellow colored substance from aloe vera leaf, turmeric powder2.◦Preparation: Mix turmeric powder with the yellow substance and apply it three times a day2.◦Health Benefits: Helps with boils or pimples filled with pus2.",Mix turmeric powder with the yellow substance and apply it three times a day2.◦Health Benefits: Helps with boils or pimples filled with pus2.,Helps with boils or pimples filled with pus2.,General,,
 Aloe Vera Gel with Sesame Oil for,,"Aloe vera gel, equal quantity of sesame oil2.◦Preparation: Mix aloe vera gel with sesame oil and apply on the affected area2.◦Health Benefits: Helps with diaper rashes2.",Mix aloe vera gel with sesame oil and apply on the affected area2.◦Health Benefits: Helps with diaper rashes2.,Helps with diaper rashes2.,General,,
 Aloe Vera Gel for,,Aloe vera gel2.◦Preparation: Apply aloe vera gel on any minor burn or injury2.◦Health Benefits: Promotes quick healing2.,Apply aloe vera gel on any minor burn or injury2.◦Health Benefits: Promotes quick healing2.,Promotes quick healing2.,General,,
" Aloe Vera Gel for Hair Growth, Hair Loss, and",,"Fresh aloe vera gel2.◦Preparation: Once a week, apply fresh aloe vera gel on your scalp and hair, leave it on for 30 minutes, and rinse off with plain water or mild shampoo2.◦Health Benefits: Promotes healthy hair growth, strengthens hair, stops hair loss, protects from sunlight, and prevents and cures dandruff2.Source3 ""5 Miraculous Benefits Of Coconut Oil | Uses Of Coconut Oil | Health Benefits | Dr. Hansaji""","Once a week, apply fresh aloe vera gel on your scalp and hair, leave it on for 30 minutes, and rinse off with plain water or mild shampoo2.◦Health Benefits: Promotes healthy hair growth, strengthens hair, stops hair loss, protects from sunlight, and prevents and cures dandruff2.Source3 ""5 Miraculous Benefits Of Coconut Oil | Uses Of Coconut Oil | Health Benefits | Dr. Hansaji""","Promotes healthy hair growth, strengthens hair, stops hair loss, protects from sunlight, and prevents and cures dandruff2.Source3 ""5 Miraculous Benefits Of Coconut Oil | Uses Of Coconut Oil | Health Benefits | Dr. Hansaji""",General,,
 Coconut Oil with Warm,,"One tablespoon of coconut oil, warm water3.◦Preparation: Mix coconut oil with warm water and drink before meals3.◦Health Benefits: Prevents constipation and heart problems3.",Mix coconut oil with warm water and drink before meals3.◦Health Benefits: Prevents constipation and heart problems3.,Prevents constipation and heart problems3.,General,,
 Coconut Oil with Aloe Vera Juice for Wound,,"Half a tablespoon of coconut oil, half a tablespoon of aloe Untitled 2 vera juice3.◦Preparation: Apply a thin layer of the mixture on minor cuts, cracks, or burns two or three times a day3.◦Health Benefits: Promotes wound healing due to coconut oil's antimicrobial (lauric acid), antibacterial, antiviral, and antifungal qualities, providing a clean and protective environment3.","Apply a thin layer of the mixture on minor cuts, cracks, or burns two or three times a day3.◦Health Benefits: Promotes wound healing due to coconut oil's antimicrobial (lauric acid), antibacterial, antiviral, and antifungal qualities, providing a clean and protective environment3.","Promotes wound healing due to coconut oil's antimicrobial (lauric acid), antibacterial, antiviral, and antifungal qualities, providing a clean and protective environment3.",General,,
 Coconut Oil,,"Coconut oil3.◦Preparation: Apply coconut oil on your body after a shower, especially on dry areas3. Wrap an old towel around your body and wait for five minutes before wearing clothes3.◦Health Benefits: Gentle moisturizing quality, enters the skin and locks in moisture, has anti-inflammatory properties, makes skin healthier and more radiant3.","Apply coconut oil on your body after a shower, especially on dry areas3. Wrap an old towel around your body and wait for five minutes before wearing clothes3.◦Health Benefits: Gentle moisturizing quality, enters the skin and locks in moisture, has anti-inflammatory properties, makes skin healthier and more radiant3.","Gentle moisturizing quality, enters the skin and locks in moisture, has anti-inflammatory properties, makes skin healthier and more radiant3.",General,,
,,"Coconut oil3.◦Preparation: Massage coconut oil into your scalp and hair, leave it on for at least 30 minutes before washing your hair3.◦Health Benefits: Reduces protein loss, provides essential nutrients, gives smoother, shinier, and stronger hair3.","Massage coconut oil into your scalp and hair, leave it on for at least 30 minutes before washing your hair3.◦Health Benefits: Reduces protein loss, provides essential nutrients, gives smoother, shinier, and stronger hair3.","Reduces protein loss, provides essential nutrients, gives smoother, shinier, and stronger hair3.",General,,
 Oil Pulling with Coconut Oil◦Ingredients: One tablespoon of,,,"Swish one tablespoon of coconut oil in your mouth for 15 to 20 minutes, then spit it out and rinse your mouth with warm water3. Best done early in the morning3.◦Health Benefits: Removes bacteria and harmful toxins, lauric acid in coconut oil is antimicrobial, helps in overall oral hygiene3.Source4...: ""Ayurvedic Home Remedies for Acidity Relief | Natural Solutions for Acid Reflux | Dr. Hansaji""","Removes bacteria and harmful toxins, lauric acid in coconut oil is antimicrobial, helps in overall oral hygiene3.Source4...: ""Ayurvedic Home Remedies for Acidity Relief | Natural Solutions for Acid Reflux | Dr. Hansaji""",General,,
 Atiar,,"Herbal powder blend containing herbs like amla, haritaki, and fennel (sof)5.◦Preparation: Have half to 1 teaspoon of atiar churna about 30 minutes before your meal5. Mix the churna with a small amount of honey or warm water to make a paste6. Drink a glass of water after having churna6.◦Health Benefits: Balances Pitta dosha and eases acidity4..., soothes the digestive tract5, reduces acid production5, amla and haritaki are rich in antioxidants and have anti- inflammatory properties, protecting the stomach lining5, fennel aids digestion by relaxing gastrointestinal muscles and helps in expulsion of gas5.","Have half to 1 teaspoon of atiar churna about 30 minutes before your meal5. Mix the churna with a small amount of honey or warm water to make a paste6. Drink a glass of water after having churna6.◦Health Benefits: Balances Pitta dosha and eases acidity4..., soothes the digestive tract5, reduces acid production5, amla and haritaki are rich in antioxidants and have anti- inflammatory properties, protecting the stomach lining5, fennel aids digestion by relaxing gastrointestinal muscles and helps in expulsion of gas5.","Balances Pitta dosha and eases acidity4..., soothes the digestive tract5, reduces acid production5, amla and haritaki are rich in antioxidants and have anti- inflammatory properties, protecting the stomach lining5, fennel aids digestion by relaxing gastrointestinal muscles and helps in expulsion of gas5.",General,,
,,"One teaspoon licorice powder, one cup boiling water6.◦Preparation: Add licorice powder to boiling water to make an infusion, and sip it once or twice a day after meals6.◦Health Benefits: Contains glycyrrhizin, which possesses anti-inflammatory effects on the digestive tract6, helps increase the production of mucin, a protective substance that lines the stomach and prevents damage from excess acid6.◦Caution: Can interact with certain medications and medical conditions (high blood pressure, heart issues, pregnancy)7.","Add licorice powder to boiling water to make an infusion, and sip it once or twice a day after meals6.◦Health Benefits: Contains glycyrrhizin, which possesses anti-inflammatory effects on the digestive tract6, helps increase the production of mucin, a protective substance that lines the stomach and prevents damage from excess acid6.◦Caution: Can interact with certain medications and medical conditions (high blood pressure, heart issues, pregnancy)7.","Contains glycyrrhizin, which possesses anti-inflammatory effects on the digestive tract6, helps increase the production of mucin, a protective substance that lines the stomach and prevents damage from excess acid6.◦Caution: Can interact with certain medications and medical conditions (high blood pressure, heart issues, pregnancy)7.",General,,
 Mint Pudina) Tea◦Ingredients: A few,,,"Drop mint leaves in boiling water to prepare tea7. Add a slice of lemon for a refreshing twist (be mindful if sensitive to citrus)7. Consume warm or at room temperature8.◦Health Benefits: Relieves indigestion and calms the stomach7, contains menthol with muscle relaxant properties that can help ease digestive discomfort7, aids in the movement of food through the digestive tract, reducing chances of acid reflux7.Source10 ""Ayurvedic solutions to get relief from migraine pain | headaches remedies | Dr. Hansaji""","Relieves indigestion and calms the stomach7, contains menthol with muscle relaxant properties that can help ease digestive discomfort7, aids in the movement of food through the digestive tract, reducing chances of acid reflux7.Source10 ""Ayurvedic solutions to get relief from migraine pain | headaches remedies | Dr. Hansaji""",General,,
,,"Ashwagandha powder or tablet11.◦Preparation: Take a teaspoon full of ashwagandha powder or a tablet before going to sleep at night with milk or water11.◦Health Benefits: Helps the body adjust to stress11, reduces the frequency and intensity of migraine11, is anti- inflammatory and can calm migraine-related inflammation11.","Take a teaspoon full of ashwagandha powder or a tablet before going to sleep at night with milk or water11.◦Health Benefits: Helps the body adjust to stress11, reduces the frequency and intensity of migraine11, is anti- inflammatory and can calm migraine-related inflammation11.","Helps the body adjust to stress11, reduces the frequency and intensity of migraine11, is anti- inflammatory and can calm migraine-related inflammation11.",General,,
 Brahmi,,"Fresh brahmi leaves or brahmi capsules, tablets, or powder11.◦Preparation: Consume one fresh brahmi leaf every day11. Alternatively, take a ¼ teaspoon of brahmi powder daily along with meals11 or boil brahmi powder with water and consume as a tea11.◦Health Benefits: Good for the nervous system11, brings down anxiety and promotes calmness, which can help prevent migraine11.Source12 ""Best Home Remedies for Anemia by Dr. Hansaji Yogendra""","Consume one fresh brahmi leaf every day11. Alternatively, take a ¼ teaspoon of brahmi powder daily along with meals11 or boil brahmi powder with water and consume as a tea11.◦Health Benefits: Good for the nervous system11, brings down anxiety and promotes calmness, which can help prevent migraine11.Source12 ""Best Home Remedies for Anemia by Dr. Hansaji Yogendra""","Good for the nervous system11, brings down anxiety and promotes calmness, which can help prevent migraine11.Source12 ""Best Home Remedies for Anemia by Dr. Hansaji Yogendra""",General,,
" Beetroot, Spinach, and Lemon",,"Beetroot, spinach, lemon juice12.◦Preparation: Extract the juice of beetroot and spinach. Add lemon juice to it12. Drink one glass daily12.◦Health Benefits: Rich in iron, calcium, copper, and vitamins B12, B6, folate), which are essential for developing and improving red blood cells12.","Extract the juice of beetroot and spinach. Add lemon juice to it12. Drink one glass daily12.◦Health Benefits: Rich in iron, calcium, copper, and vitamins B12, B6, folate), which are essential for developing and improving red blood cells12.","Rich in iron, calcium, copper, and vitamins B12, B6, folate), which are essential for developing and improving red blood cells12.",General,,
 Black Sesame Seeds and Jaggery◦Ingredients: Black,,,"Roast black sesame seeds slightly. Consume them as is, twist with cereal, or make sweets with jaggery12.◦Health Benefits: Black sesame seeds are rich in iron, copper, zinc, Vitamin B6, and folic acid, which boost hemoglobin content and help in maintaining iron levels12.Source13 ""Best Natural Home Remedies for Wrinkles | Anti-Aging | Get Soft and Smooth Hands""","Black sesame seeds are rich in iron, copper, zinc, Vitamin B6, and folic acid, which boost hemoglobin content and help in maintaining iron levels12.Source13 ""Best Natural Home Remedies for Wrinkles | Anti-Aging | Get Soft and Smooth Hands""",General,,
" Banana, Aloe, and Olive Oil",,"One ripe banana (mashed), one tablespoon full of aloe vera gel, one tablespoon olive oil (can substitute with coconut oil, jojoba, almond oils)13.◦Preparation: Mix all ingredients to form a paste13. Apply a generous amount all over your hands, especially on the palm and back of the palm13. Leave it for 20 minutes and wash it out with warm water13.◦Health Benefits: Moisturizes Untitled 4 instantly13, aloe vera contains Vitamin E for healing skin damage and promoting a healthy glow13, banana hydrates dull and dry skin and includes Vitamin A for fading dark spots and preventing aging13, olive oil boosts collagen production13.","Mix all ingredients to form a paste13. Apply a generous amount all over your hands, especially on the palm and back of the palm13. Leave it for 20 minutes and wash it out with warm water13.◦Health Benefits: Moisturizes Untitled 4 instantly13, aloe vera contains Vitamin E for healing skin damage and promoting a healthy glow13, banana hydrates dull and dry skin and includes Vitamin A for fading dark spots and preventing aging13, olive oil boosts collagen production13.","Moisturizes Untitled 4 instantly13, aloe vera contains Vitamin E for healing skin damage and promoting a healthy glow13, banana hydrates dull and dry skin and includes Vitamin A for fading dark spots and preventing aging13, olive oil boosts collagen production13.",General,,
 Sugar and Coconut Oil Scrub◦Ingredients: Sugar,,,"Mix sugar crystals and coconut oil well13. Apply in a circular motion on the skin, keep for 10 minutes, and then wash it off13.◦Health Benefits: Exfoliates dead skin, makes hands smooth, nourishes skin, and makes it glow13.","Exfoliates dead skin, makes hands smooth, nourishes skin, and makes it glow13.",General,,
 Rice Flour and Rose Water,,"Rice flour, rose water13.◦Preparation: Mix rice flour with rose water to make a scrub13. Apply in a circular motion on the skin, keep for 10 minutes, and then wash it off13.◦Health Benefits: Exfoliates dead skin, makes skin radiant and healthy-looking13.Source14 ""Best Tips on How to Overcome Constipation | Dr. Hansaji Yogendra""","Mix rice flour with rose water to make a scrub13. Apply in a circular motion on the skin, keep for 10 minutes, and then wash it off13.◦Health Benefits: Exfoliates dead skin, makes skin radiant and healthy-looking13.Source14 ""Best Tips on How to Overcome Constipation | Dr. Hansaji Yogendra""","Exfoliates dead skin, makes skin radiant and healthy-looking13.Source14 ""Best Tips on How to Overcome Constipation | Dr. Hansaji Yogendra""",General,,
 Warm,,Warm water14.◦Preparation: Drink warm water first thing in the morning14.◦Health Benefits: Helps in easy bowel movements14.,Drink warm water first thing in the morning14.◦Health Benefits: Helps in easy bowel movements14.,Helps in easy bowel movements14.,General,,
,,"Water, lemon juice14.◦Preparation: Drink water with lemon juice14.◦Health Benefits: Works wonders for constipation14.",Drink water with lemon juice14.◦Health Benefits: Works wonders for constipation14.,Works wonders for constipation14.,General,,
" Water, Lemon Juice, Honey, Pepper,",,"Water, lemon juice, honey, a pinch of pepper, a little turmeric14.◦Preparation: Mix all ingredients in a glass of water and drink before going to bed14.◦Health Benefits: Aids in bowel movements14.Source15 ""Clear Acne at home | Acne Removal Skincare | Quick Pimple removal remedies""","Mix all ingredients in a glass of water and drink before going to bed14.◦Health Benefits: Aids in bowel movements14.Source15 ""Clear Acne at home | Acne Removal Skincare | Quick Pimple removal remedies""","Aids in bowel movements14.Source15 ""Clear Acne at home | Acne Removal Skincare | Quick Pimple removal remedies""",General,,
